"Item #","DESC 1","DESC 2","DESC 3","X-REF #","Weight","Retail","Dealer","On Hand"
"AA-32","Bio-Kleen Amazing Armor 32 oz ","Leather & Vinyl Conditioner   ",,"AMAZING ARMOR       ",2,24.2076,17.2907,0
"AC-32","Bio-Kleen Amazing Cleaner 32oz","Vinyl, Leather, Fabric Cleaner",,"AMAZING CLEANER     ",2,22.7777,16.2706,0
"ACC-GREAS-10-CT","Marine Grease, 10 oz.         ","Yamaha                        ",,,1,8.2,6.72,5
"ACC-YAMSH-LD-00","Yamashield                    ","Universal                     ","Rust & Corrosion Prevention   ","ACC-T9SPR-AY-00     ",1,10.99,9.01,0
"AK-32","Bio-Kleen Aluma Kleen 32oz    ","Aluminum Cleaner & Brightener ",,"ALUMA-KLEEN         ",2,24.2076,17.2907,0
"BC-32","Bio-Kleen Bilge Cleaner 32oz  ","Cleaner / Degreaser           ",,"BILGE CLEANER       ",2,22.7877,16.2706,0
"BL18773","Ring Compressor               ","Mercury 2.5L V6               ",,,1.3,31.9468,27.4917,0
"BL511-9764","Spark Tester Single (USED)    ","1 Cylinder Neon Light         ","BLEM MISSING ALIGATOR CLIP    ",,0.4,8.8191,8.9973,0
"BL82709","End Cap Tool, Trim Cylinder   ","SMALL PIN BROKEN              ","BLEM                          ",,0,59.994,61.206,0
"BL90095","Puller, Universal (USED)      ","USED AND RETURNED             ","BLEM                          ",,5,35.9964,36.7236,0
"BS-32","Bio-Kleen Black Streak 32 oz  ","Black Streak Remover          ",,"BLACK STREAK REMOVER",2,22.7877,16.2706,0
"BW300K","Pro Marine Structural Adhesive","50 ML 5min Work Time Quick Dry","Includes 2 Tips               ",,1,29.99,22.99,39
"BW300T","Gun Tool                      ","For BW300K                    ","2 Part Adhesive               ",,1,20.5,16.4,0
"BW560K","Pro Marine Structural Adhesive","400 ML 50-60 Work Time        ","Includes 2 Tips               ",,2,62,43.99,30
"BW560T","Gun Tool                      ","For BW560K                    ","Two Part Adhesive             ",,1.7,41.95,33.56,1
"B710","Manual, Service               ","Mercury 4-90hp 4str 95-00     ",,,2.8,39.95,33.33,1
"B712","Manual, Service               ","Mercury 75-225hp 4str 01-03   ",,,2.5,39.95,33.33,1
"B715","Manual, Service               ","Merc Mariner 2.5-275 90-93    ",,,3.2,34.9465,29.0729,0
"B719","Manual, Service               ","Mercury 4-135hp 64-71         ",,,1.5,44.95,37.47,2
"B721","Manual, Service               ","Mercury 3.5-40hp 72-89        ",,,1.9,39.95,33.33,2
"B722","Manual, Service               ","Mercury 3-275hp 90-93         ",,,3.11,44.95,37.47,0
"B723","Manual, Service    **NLA***   ","Mercury 2.5-60hp 94-97        ",,,3.5,34.9465,29.0729,0
"B724","Manual, Service               ","Mercury 75-275hp 94-97        ",,,4,44.95,37.46,0
"B725","Manual, Service               ","Mercury 2.5-60hp 98-02        ",,,2.3,39.95,33.33,0
"B726","Manual, Service               ","Mercury 42-225hp 72-89        ",,,2.1,34.9465,29.0729,0
"B727","Manual, Service               ","Mercury 75-250hp 98-02        ",,,3.1,34.9465,29.0729,0
"B735-2","Manual, Service               ","J/E 2-70hp 95-03              ",,,3.8,39.95,33.33,1
