init_id,id,description,has_stock,cost,weight,cr_number,mfg
ACC-GREAS-10-CT,ACC-GREAS-10-CT,"Marine Grease, 10 oz.
Yamaha",True,6.72,1.0,,
ACC-YAMSH-LD-00,ACC-YAMSH-LD-00,"Yamashield
Universal
Rust & Corrosion Prevention
Mfg Part #: ACC-T9SPR-AY-00",False,9.01,1.0,,ACC-T9SPR-AY-00
BW300K,BW300K,"Pro Marine Structural Adhesive
50 ML 5min Work Time Quick Dry
Includes 2 Tips",True,22.99,1.0,,
BW300T,BW300T,"Gun Tool
For BW300K
2 Part Adhesive",False,16.4,1.0,,
BW560K,BW560K,"Pro Marine Structural Adhesive
400 ML 50-60 Work Time
Includes 2 Tips",True,43.99,2.0,,
BW560T,BW560T,"Gun Tool
For BW560K
Two Part Adhesive",True,33.56,1.7,,
B710,B710,"Manual, Service
Mercury 4-90hp 4str 95-00",True,28.33,2.8,,
B712,B712,"Manual, Service
Mercury 75-225hp 4str 01-03",True,28.33,2.5,,
B719,B719,"Manual, Service
Mercury 4-135hp 64-71",True,31.85,1.5,,
B721,B721,"Manual, Service
Mercury 3.5-40hp 72-89",True,28.33,1.9,,
B735-2,B735-2,"Manual, Service
J/E 2-70hp 95-03",True,28.33,3.8,,
B750,B750,"Manual, Service
Chrysler 3-140hp 66-84",True,28.33,2.1,,
B770,B770,"Manual, Service
Volvo Penta Sterndrives
1993 & Below",True,31.85,2.41,,
B778,B778,"Manual, Service
Suzuki 2-65hp 92-99",True,28.33,2.5,,
B779,B779,"Manual, Service
Suzuki 75-225hp 92-99",True,33.33,2.41,,
B780,B780,"Manual, Service
Suzuki 2-140hp 77-84",True,28.33,1.9,,
B781,B781,"Manual, Service
Suzuki 2-225hp 85-91",True,28.33,3.1,,
B782,B782,"Manual, Service
Suzuki 9-70hp 4str 97-00",True,28.33,2.2,,
B790,B790,"Manual, Service
Tohatsu 2.5-140hp 92-00",True,28.33,1.7,,
B793,B793,"Manual, Service
Nissan 2.5-140hp 92-00",True,28.33,4.0,,
CL-1,CL-1,"Lube, Cam Assembly
3oz
Mfg Part #: 92-801779",False,9.77,0.3,,92-801779
EP-JB3000,EP-JB3000,Jump Box,True,83.0,,,
FC1030,FC1030,"Oil, 1 Gallon
Yamalube 10W30
Cross Ref #: LUB10W30FC04
Mfg Part #: LUB-10W30-FC-04",True,25.32,7.8,LUB10W30FC04,LUB-10W30-FC-04
FC1030QT,FC1030QT,"Oil, Quart
Yamalube 10W30
Cross Ref #: LUB-10W30-FC-12
Mfg Part #: LUB-10W30-FC-12",True,7.3,2.1,LUB-10W30-FC-12,LUB-10W30-FC-12
FC2040-QT,FC2040-QT,"Oil, 4 Stroke Qt
Yamalube
Cross Ref #: LUB20W40FC12
Mfg Part #: LUB-20W40-FC-12",True,7.86,1.6,LUB20W40FC12,LUB-20W40-FC-12
GM-ISO32,GM-ISO32,"Green Marine Hyd. Fluid
Power Pole Fluid
Mfg Part #: GM-ISO32-QT-F",True,13.21,1.88,,GM-ISO32-QT-F
HPLUBE8,HPLUBE8,"Lube, Gear, Hi Performance
Quicksilver 8 oz
Mfg Part #: 802851Q02",True,8.6,0.1,,802851
LUB-05W30-FC-04,LUB-05W30-FC-04,"Oil, 1 Gallon
Yamaha 5W30 Full Synthetic
Mfg Part #: LUB-05W30-FC-04",True,42.78,7.6,,LUB-05W30-FC-04
MRNXL-KT-10,MRNXL-KT-10,"Oil Change Kit F225-F300
Yamaha V6 4.2
Cross Ref #: LUB-MRNXL-KT-10
Mfg Part #: LUB-MRNXL-KT-10",True,70.91,15.27,LUB-MRNXL-KT-10,LUB-MRNXL-KT-10
OCKIT-2,OCKIT-2,"Oil Change Kit
Yamaha V200-V250 SHO
5W30 Synthetic",True,98.75,16.4,,
PRO-OIL15,PRO-OIL15,"Oil, Hydraulic
1 Liter",True,10.29,1.9,,
PTF,PTF,"Fluid, Power Trim & Steering
Cross Ref #: 92-802880Q 1, 92-858074Q 1",True,5.54,0.1,"92-802880Q 1, 92-858074Q 1",
QUICKLEEN,QUICKLEEN,"Quickleen, 12 oz.
Mercury All
Mfg Part #: 8M0047931",True,13.14,0.8,,8M0047931
Q12-200ML,Q12-200ML,"Q12 Rust Remover
200Ml
Penetrating Rust Solvent",True,6.06,0.65,,
Q20-150G,Q20-150G,"Q20 Lubricant 150G
Displaces Moisture, Stops Rust
Lubricates, Cleans, & Protects",False,5.48,0.46,,
Q20-300G,Q20-300G,"Q20 Lubricant 300G
Displaces Moisture, Stops Rust
Lubricates, Cleans, & Protects",False,6.54,0.85,,
R50,R50,Klotz Pre Mix Oil,True,17.5,2.0,,
SUZ-GLUBE-QT,SUZ-GLUBE-QT,"Gear Lube Qt
Suzuki Ecstar
946ML 31.988 Oz
Cross Ref #: 990A0-01E80-01Q, 990A0-01E80-01Q, 990A0-01E81-01Q, 990A0-01E81-01Q, 99000-22540, 99105-50040, 99105-50041, 99105-50051
Mfg Part #: 99105-50040",False,8.99,2.1,"990A0-01E80-01Q, 990A0-01E80-01Q, 990A0-01E81-01Q, 990A0-01E81-01Q, 99000-22540, 99105-50040, 99105-50041, 99105-50051",99105-50040
SUZ-10W40-GAL,SUZ-10W40-GAL,"Engine Oil 10W-40 Ecstar 1Gal
Suzuki 4 Stroke
Semi Synthetic
Cross Ref #: 990C0-01E30-GLN, 990C0-01E30-GLN, 990C0-10W40-GAL, 990C0-10W40-GLN, 990C0-10W40-GLN, 990C0-10W40-1GL
Mfg Part #: 990C0-10W40-GAL",False,32.42,8.0,"990C0-01E30-GLN, 990C0-01E30-GLN, 990C0-10W40-GAL, 990C0-10W40-GLN, 990C0-10W40-GLN, 990C0-10W40-1GL",990C0-10W40-GAL
SUZ-10W40-QT,SUZ-10W40-QT,"Engine Oil 10W-40 Ecstar 1QT
Suzuki 4 Stroke
Semi Synthetic
Cross Ref #: 990C0-01E30-QUA, 990C0-01E30-QUA, 990C0-10W40-QRT, 990C0-10W40-QUA, 990C0-10W40-QUA, 990C0-10W40-1QT, 99105-10W40-1QT
Mfg Part #: 990C0-01E30-QUA",True,8.48,2.1,"990C0-01E30-QUA, 990C0-01E30-QUA, 990C0-10W40-QRT, 990C0-10W40-QUA, 990C0-10W40-QUA, 990C0-10W40-1QT, 99105-10W40-1QT",990C0-01E30-QUA
TIP400,TIP400,"Mixing Tip for BW560K
Fits 400ML",True,3.0,0.5,,
TIP50,TIP50,"Mixing Tip for BW300K
Fits 50ML",True,1.98,0.02,,
5023,5023,"Battery Cleaner w Acid Indicat
11oz",True,6.92,0.92,,
6019,6019,"Cleaner & Degreaser 19oz
Mfg Part #: 06019",True,9.54,1.5,,6019
6161,6161,"Fuel Stabilizer Gas, 8 oz.",True,6.27,7.75,,
6164,6164,Fuel Stabilizer Gas 1Gal,False,35.5,7.75,,
18-9200,18-9200,"Grease, Spline
For Engine Coupliers
Cross Ref #: 9-82700, 92-802869Q1",False,5.88,1.0,"9-82700, 92-802869Q1",
219171,219171,"Manual, Repair, PWC
Seadoo 1988-2003",True,24.43,0.5,,
24,24,"Grease, 2-4-C w/ Teflon
Water Proof
Mfg Part #: 92-802859Q 1",True,9.97,0.1,,92-802859Q 1
242-36ML,242-36ML,"242 Blue Loctite 36ML
Mfg Part #: 492140",True,23.38,,,492140
242-6ML,242-6ML,"242 Blue Loctite 6ML
Mfg Part #: 487229",True,6.79,,,487229
268,268,"Semi Solid Sticks, Loctite
High Strength 9 gram stick
Mfg Part #: 37685",False,21.85,0.04,,37685
271,271,"271 Red Loctite 6ML tube
High Strenght for Large Bolts
Small Diameter
Mfg Part #: 92-809819,500422",False,6.83,,,"92-809819,500422"
295131,295131,"Harness, Stator Test
Seadoo
4 Pin
Cross Ref #: 295000131
Mfg Part #: 295000131",False,83.67,0.2,295000131,295000131
350-ENDCAP,350-ENDCAP,"End Cap Kit
for 350-Hsteer-Cyl",True,27.91,2.0,,
351907,351907,"Dark Blue Spectracron Paint
Evinrude E-Tec 2004-2008
Mfg Part #: 351907",False,10.03,1.0,,351907
36577,36577,"Driver, Bearing Cup OEM
Mercruiser MC I, R/MR/Apha I
Gen II & Outboards Forward Brg
Cross Ref #: 18-9831
Mfg Part #: 36577T",True,76.26,2.5,18-9831,36577
