init_id,sd,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications
10-080,SD10738,10-080,"Strap 1"" x 6' Pair Ratchet Tie Down",18.2,10.9,True,,"1"" x 6' polyester ratchet tie down pair.
Vinyl coated hooks.
Capacity: 450 lbs.
",
10-140-03,SD16113,10-140-03,Replacement Race for Trailer Hub Bearings,3.2,1.9,True,,Tapered Roller Bearing Cup,
10-141,SD14017,10-141,"4- Bolt Hub Kit 1-1/16"" bearing size",36.15,21.65,True,,"Galvanized hub includes:
Dust Cap
1.25"" Seal
Cotter Pin for 1-1/16"" Spindle
1-1/16"" tapered roller bearing cone
Always pack new wheel bearings with suitable axle grease prior to installation.",
10-150,SD14054,10-150,"5 Bolt Hub Kit 1"" Bearing",36.15,21.65,True,,"Galvanized hub includes bearings, races, seal, lug nuts and dust cap 
1"" Bearing Size

Always pack new wheel bearings with suitable axle grease prior to installation",
10-220H,SD13538,10-220H,"Trailer Coupler Ball 2"" Channel 2""",21.4,12.8,True,,"Zinc plated with safety lock mechanism. 
2"" Ball 
2"" Channel
Capacity: 3500lbs
Mounting hardware not included.",
10-230H,SD13579,10-230H,"Trailer Coupler Ball 2"" Channel 3""",22.5,13.5,True,In Stock ETA: NO ETA,"Zinc plated with safety lock mechanism. 
2"" Ball
3"" Channel
Capacity: 3500lbs
Mounting hardware not included. ",
10-530,SD17048,10-530,Trailer Jack Easy Lift,45.05,29.95,False,,"Two ton capacity. 
All aluminum construction - polished and sand-shot.
Lifts and holds boat and camper trailers and other single axle vehicles with wheels from 8-16. ",
10-580,SD17097,10-580,"Trailer Bunk Padding 9.8'X11""",21.4,12.8,True,In Stock ETA: NO ETA,"Durable, weather resistant Poly Pro marine carpet material with durable acrylic backing.
1 roll covers 2 bunks.",
108BT100,SD11285,108BT100,Seat Cover for Sea-Doo 1989-1993 SP/1993 SPX/1991-1992 XP,104.95,73.45,False,,"NOTE: Custom Seats will be charged as soon as we get the order and before they are made (due to our inability to resell custom covers). Once charged, you order will not be refunded. Custom Seats typically ship within 5-7 business days from the time of order.

Our program allows you to see the pattern on-line and create your own color scheme for your brand new jet ski seat cover. The cover is made from high quality marine vinyl and designed to last for years. The individual section provides for a tight, custom fit and look.


Please choose the color for each panel:
Vinyl color choices:
Black, Deep Blue, Royal Blue, Teal, Burgundy, Gray, Dark Gray, Dark Green, Lime Green, Purple, Red, White, Yellow and Orange.
Carbon-Fiber color choices:
Black, Silver, Purple, White, Copper, Dark Gray, Yellow, Blue and Red.
Non Slip Material available in Black. 
Please note all seat covers are custom made to suit your specific color and material. 


There are no refunds or exchanges so please make sure to order correctly.


BlackTip Jetsports Seat Cover Color Samples may view differently than actual color, depending on monitor settings.

Color samples may be sent to you upon request or viewed by clicking this link Color Samples

**Seat Cover Does Not Include Strap**",1989 SP 1990 SP 1991 SP1991 XP 1992 SP1992 XP 1993 SP1993 SPX
108BT103,SD9038,108BT103,Seat Cover for Sea-Doo Touring 1990-1991 GT/1992-2000 GTS/1992-1995 GTX/1996 GTI,166.95,116.85,False,,"NOTE: Custom Seats will be charged as soon as we get the order and before they are made (due to our inability to resell custom covers). Once charged, you order will not be refunded. Custom Seats typically ship within 5-7 business days from the time of order.

Our program allows you to see the pattern on-line and create your own color scheme for your brand new jet ski seat cover. The cover is made from high quality marine vinyl and designed to last for years. The individual section provides for a tight, custom fit and look.


Please choose the color for each panel:
Vinyl color choices:
Black, Deep Blue, Royal Blue, Teal, Burgundy, Gray, Dark Gray, Dark Green, Lime Green, Purple, Red, White, Yellow and Orange.
Carbon-Fiber color choices:
Black, Silver, Purple, White, Copper, Dark Gray, Yellow, Blue and Red.
Non Slip Material available in Black. 
Please note all seat covers are custom made to suit your specific color and material. 


There are no refunds or exchanges so please make sure to order correctly.


BlackTip Jetsports Seat Cover Color Samples may view differently than actual color, depending on monitor settings.

Color samples may be sent to you upon request or viewed by clicking this link Color Samples

**Seat Cover Does Not Include Strap**","Optional Touring Seat. This seat has an extra ""hump"" in the middle of the seat. 1990 GT 1991 GT 1992 GTS1992 GTX 1993 GTS1993 GTX 1994 GTS1994 GTX 1995 GTS1995 GTX 1996 GTI1996 GTS 1997 GTS 1998 GTS 1999 GTS 2000 GTS"
