init_id,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications
10-009,10-009,Winch Single Speed 850lb Capacity,28.95,17.35,True,,"Zinc plated
Single speed
Light duty winch for small to medium sized watercraft.",
10-015,10-015,Universal Single Speed Winch,36.15,21.65,True,,"Universal Fit for Rope, Strap or Cable.
Single Speed
Capacity 1400lbs
Zinc Plated
Medium Duty for Larger 3 Seat and 4 Stroke Watercraft",
10-016,10-016,Single Speed Gear Winch used with Rope or Cable Only,36.15,21.65,True,,"Rope or Cable Compatibility Only
Will not work with Strap Winch 
Zinc Plated 
Single Speed 
Capacity 1400lbs
Medium Duty Winch for Larger 3 Seat and 4 Stroke Watercraft.",
10-060,10-060,PWC Winch with Bow Loop,49.95,39.95,True,,"Zinc Plated
Capacity 900lbs
2 Way ratchet with 12 bow loop strap and zinc plated hook.
This 3 to 1 gear ratio winch has a smooth turning roller grip handle.",
10-072,10-072,Winch Strap with Bow Loop 15FT,12.95,7.75,True,,"Wide polyester webbing. 
Heavy duty zinc plated safety hook attached to webbing. 
6750 lb. breaking strength and 2700 lb. working load. 
For use with all Seasense winches rated for 2000 lbs and under.",
10-080,10-080,"Strap 1"" x 6' Pair Ratchet Tie Down",18.2,10.9,True,,"1"" x 6' polyester ratchet tie down pair.
Vinyl coated hooks.
Capacity: 450 lbs.
",
10-102,10-102,"1.78"" Bearing Protector Set of 2",21.4,12.8,True,,"Includes protective cover.
Replaces dust cap on hub. 
Automatically supplies grease to extend bearing life. 

",
10-140,10-140,"4-Bolt Hub Kit 1"" Bearing Size",36.15,21.65,True,,"Galvanized hub includes:
(2) 1"" Tapered Roller bearing
Cotter Pin for 1"" Spindle
1.25"" Seal
Dust Cap 
Always pack new wheel bearings with suitable axle grease prior to installation.",
10-140-03,10-140-03,Replacement Race for Trailer Hub Bearings,3.2,1.9,True,,Tapered Roller Bearing Cup,
10-141,10-141,"4- Bolt Hub Kit 1-1/16"" bearing size",36.15,21.65,True,,"Galvanized hub includes:
Dust Cap
1.25"" Seal
Cotter Pin for 1-1/16"" Spindle
1-1/16"" tapered roller bearing cone
Always pack new wheel bearings with suitable axle grease prior to installation.",
10-142,10-142,"1.98"" Bearing Protector Set of 2",21.4,12.8,True,,"Replaces dust cap on hub.
Automatically supplies grease to extend bearing life. 
Includes protective cover.",
10-150,10-150,"5 Bolt Hub Kit 1"" Bearing",36.15,21.65,True,,"Galvanized hub includes bearings, races, seal, lug nuts and dust cap 
1"" Bearing Size

Always pack new wheel bearings with suitable axle grease prior to installation",
10-151,10-151,"5 Bolt Hub Kit 1-1/16"" Bearing",37.55,22.5,True,,"Galvanized hub includes:
(2) 1-1/16"" Tapered Roller Bearing Cone
Cotter Pin for 1-1/16"" Spindle
1.25"" Seal
Dust cap
Always pack new wheel bearings with suitable axle grease prior to installation",
10-220H,10-220H,"Trailer Coupler Ball 2"" Channel 2""",21.4,12.8,True,,"Zinc plated with safety lock mechanism. 
2"" Ball 
2"" Channel
Capacity: 3500lbs
Mounting hardware not included.",
10-225H,10-225H,"Trailer Coupler Ball 2"" Channel 2-1/2""",21.4,12.8,True,,"Zinc plated with safety lock mechanism.
2"" Ball
2-1/2"" Channel
Capacity: 3500lbs
Mounting hardware not included",
10-230,10-230,"Trailer Coupler Ball 1-7/8"" Channel 3""",17.1,10.25,True,,"Zinc plated with safety lock mechanism. 
1-7/8"" Ball
3"" Channel
Capacity 2000lbs
Mounting hardware not included.",
10-230H,10-230H,"Trailer Coupler Ball 2"" Channel 3""",22.5,13.5,True,In Stock ETA: NO ETA,"Zinc plated with safety lock mechanism. 
2"" Ball
3"" Channel
Capacity: 3500lbs
Mounting hardware not included. ",
10-250,10-250,SS Safety Chain CLS1 2000lbs,49.95,39.95,True,,"Capacity: 2000lbs
24"" Stainless Steel welded link chain. 
Keeps trailer attached if hitch fails. ",
10-252,10-252,Trailer Safety Cable,24.65,14.75,True,,"Class 2, 3500# Black Vinyl Jacketed with S Hooks.
Galvanized aircraft cable construction. 
Cables exceed SAE J684 standards for trailer coupling hitches, NMMA certified.",
10-320,10-320,Trailer Light Kit Submersible,42.8,25.85,True,,"Fully submersible - over 80"" wide light kit. Includes 25' trailer harness
48 vehicle connector and mounting hardware. 
Meets DOT requirements.",
10-340,10-340,"Replacement Trailer LED Light Kit 14 Diodes 80"" wide Submersible",78.4,47.95,True,,"Fully submersible super bright LED Trailer Light Kit 80"" wide. 
Includes 25' trailer harness, 48 vehicle connector, stainless steel mounting hardware, license bracket. 
Meets DOT requirements.",
10-342,10-342,Trailer Light Kit 15 Diode LED,95.6,57.35,True,,"Fully submersible low profile super bright LED Trailer Light Kit 80"" wide.
Includes 25' trailer harness,48 vehicle connector, stainless steel mounting hardware, license bracket. 
Meets DOT requirements.",
10-342-01,10-342-01,Replacement LED Light 15 Diodes Right Hand,37.55,22.5,True,,"Replacement light fixture for 15 Diode LED light kit. 
Available for RH only.",
10-392,10-392,"License Holder, Plastic",3.3,1.95,True,,ABS plastic license plate holder mounts behind trailer light with existing hardware.,
10-393,10-393,Trailer Wire Harness 25' Long,28.95,17.35,True,,"25 wishbone trailer harness. 
Color coded wires with 4 vehicle side connector: 4 pole. 
Frame clips included. 
Clam pack.",
10-397,10-397,"Vehicle End Connector, Female",5.6,3.35,True,,"Kit Includes:
Female 4 pole flat vehicle end connector with 48 color coded lead wires. 
6/12/24 volt capacity. B card. ",
10-500,10-500,Swivel Trailer Jack 1000lb,49.95,39.95,True,,"Trailer Jack with great features.
For use on trailor tongues up to 3"" x 5""
10"" of vertical travel provides up to 21"" of lift.
Reinforced wheel fork, zinc plated tube, solid cast gears and a two pin swing-up release for added strength. 
The handle gear shaft is flat on one side along with the gear itself making a positive connection - eliminating the need for a roll pin. (Common weakness on other jacks).",
10-520,10-520,Trailer Jack Stand 300lb,45.05,29.95,True,,"Provides 15"" of ground clearance.
Fits toungues up to 3"" x 3""
A space saver for small trailers.
Ideal for any small utility trailer. Swing-away design mounts under (not beside) trailer tongue. 
Wheel locks in down position and pivots out of the way for trailering. 
1 year manufacturers warranty.",
10-530,10-530,Trailer Jack Easy Lift,45.05,29.95,False,,"Two ton capacity. 
All aluminum construction - polished and sand-shot.
Lifts and holds boat and camper trailers and other single axle vehicles with wheels from 8-16. ",
10-580,10-580,"Trailer Bunk Padding 9.8'X11""",21.4,12.8,True,In Stock ETA: NO ETA,"Durable, weather resistant Poly Pro marine carpet material with durable acrylic backing.
1 roll covers 2 bunks.",
